state_id,city_area,establishments
CA,Los Angeles,78
CA,Santa Ana,3
CA,Anaheim,5
CA,Orange,2
CA,Costa Mesa,1
CA,Irvine,1
CA,Garden Grove,1
CA,Tustin,2
CA,Buena Park,2
CA,Fullerton,2
CA,Huntington Beach,2
CA,Laguna Niguel,3
CA,Yorba Linda,1
CA,Westminster,1
CA,Chino,1
CA,Corona,2
CA,Fontana,1
CA,Hemet,1
CA,Hesperia,2
CA,Indio,1
CA,Menifee,1
CA,Moreno Valley,1
CA,Murrieta,1
CA,Ontario,3
CA,Perris,1
CA,Rialto,2
CA,Rancho Cucamonga,2
CA,Riverside,3
CA,San Bernardino,2
CA,Temecula,2
CA,Upland,2
CA,Victorville,1
CA,San Diego,23
CA,Chico,1
CA,Reading,2
CA,Sacramento,21
CA,Stockton,6
CA,Modesto,4
CA,Mountain View,2
CA,Alameda,1
CA,Daly City,2
CA,San Leandro,1
CA,Union City,1
CA,Redwood City,1
CA,Fremont,1
CA,San Ramon,1
CA,Pleasanton,1
CA,San Jose,18
CA,Central Coast,6
NV,Reno,2
NV,Sparks,1
NV,Las Vegas,19
AZ,Phoenix,22
AZ,Yuma,5
UT,Provo,1
UT,Salt Lake City,10
TX,Dallas,12
TX,Austin,7
TX,Houston,4
TX,San Antonio,7
CO,Colorado Springs,2
CO,Denver,7
ID,Boise,1
CA,Napa,1
AZ,Tucson,5
TX,Fort Worth,12
CA,Bakersfield,3
CA,Fresno,4
CA,Visalia,2
CA,Clovis,1
CA,Merced,1
